time,Windspeed,Scaled_Windspeed_(at_116.5m),Wind_Direction,Turn_off,Power
1980-01-01 00:00:00,12.086297,12.487146,146.3653,1,749.65936
1980-01-01 01:00:00,11.4774065,11.858056,146.34601,1,725.06305
1980-01-01 02:00:00,11.275247,11.649189,146.93263,1,713.78827
1980-01-01 03:00:00,11.094656,11.462607,146.66815,1,702.44965
1980-01-01 04:00:00,11.200159,11.57161,147.39528,1,709.2176
1980-01-01 05:00:00,11.406174,11.784461,146.97513,1,721.2631
1980-01-01 06:00:00,11.435178,11.814429,146.62985,1,722.8333
1980-01-01 07:00:00,11.646106,12.032355,145.99745,1,733.3032
1980-01-01 08:00:00,11.845994,12.238876,143.19211,1,741.6638
1980-01-01 09:00:00,11.689373,12.077055,138.28238,1,735.2428
1980-01-01 10:00:00,11.297741,11.67243,134.9803,1,715.11743
1980-01-01 11:00:00,10.55376,10.903771,129.16699,1,661.5662
1980-01-01 12:00:00,10.052759,10.386151,127.674965,1,614.84436
1980-01-01 13:00:00,10.31064,10.652585,125.77789,1,639.92554
1980-01-01 14:00:00,10.381012,10.72529,124.72562,1,646.392
1980-01-01 15:00:00,10.830623,11.189814,125.68151,1,683.7686
1980-01-01 16:00:00,11.531714,11.914161,127.60521,1,727.8325
1980-01-01 17:00:00,12.494902,12.909299,128.44557,1,752.0
1980-01-01 18:00:00,13.28437,13.724959,129.41599,1,752.0
1980-01-01 19:00:00,14.385289,14.862408,127.43059,1,752.0
1980-01-01 20:00:00,14.117322,14.585556,126.750336,1,752.0
1980-01-01 21:00:00,13.863637,14.323451,120.94868,1,752.0
1980-01-01 22:00:00,14.37512,14.8518915,115.29006,1,752.0
1980-01-01 23:00:00,14.046314,14.512175,108.3721,1,752.0
1980-01-02 00:00:00,13.968748,14.432033,104.97108,1,752.0
1980-01-02 01:00:00,14.266282,14.739436,104.60598,1,752.0
1980-01-02 02:00:00,14.320739,14.795701,105.53202,1,752.0
1980-01-02 03:00:00,14.185985,14.656478,106.98493,1,752.0
1980-01-02 04:00:00,14.085495,14.552651,108.14783,1,752.0
1980-01-02 05:00:00,13.99196,14.456013,108.42128,1,752.0
1980-01-02 06:00:00,13.938717,14.401004,108.72814,1,752.0
1980-01-02 07:00:00,13.794439,14.25194,109.58156,1,752.0
1980-01-02 08:00:00,13.558507,14.008181,109.42923,1,752.0
1980-01-02 09:00:00,13.226422,13.665081,107.955734,1,752.0
1980-01-02 10:00:00,12.31171,12.720023,107.11215,1,752.0
1980-01-02 11:00:00,11.889809,12.28413,106.72516,1,743.2898
