time,Windspeed,Scaled_Windspeed_(at_125.5m),Wind_Direction,Turn_off,Power
1980-01-01 00:00:00,14.699871,15.424967,131.66382,1,759.0
1980-01-01 01:00:00,13.551462,14.219894,128.9479,1,759.0
1980-01-01 02:00:00,12.55372,13.172928,128.4336,1,750.9304
1980-01-01 03:00:00,11.605343,12.177765,128.54434,1,696.06464
1980-01-01 04:00:00,10.876567,11.41304,129.89554,1,628.56256
1980-01-01 05:00:00,10.344675,10.854911,130.85143,1,569.86633
1980-01-01 06:00:00,9.864373,10.350918,130.0536,1,512.5813
1980-01-01 07:00:00,9.904682,10.393215,130.46677,1,517.4931
1980-01-01 08:00:00,10.268091,10.77455,129.35925,1,560.9479
1980-01-01 09:00:00,10.467413,10.983705,127.72038,1,583.94476
1980-01-01 10:00:00,11.0802965,11.626821,125.58589,1,649.1748
1980-01-01 11:00:00,10.98623,11.528113,125.27945,1,639.8064
1980-01-01 12:00:00,10.939974,11.479576,129.94438,1,635.10486
1980-01-01 13:00:00,11.554297,12.124205,135.03787,1,691.9497
1980-01-01 14:00:00,12.364672,12.974558,138.12978,1,743.6148
1980-01-01 15:00:00,13.415221,14.076937,138.9384,1,759.0
1980-01-01 16:00:00,13.828308,14.510407,137.84702,1,759.0
1980-01-01 17:00:00,14.250771,14.953713,131.8572,1,759.0
1980-01-01 18:00:00,14.088061,14.782973,123.64757,1,759.0
1980-01-01 19:00:00,13.783993,14.4639015,113.619354,1,759.0
1980-01-01 20:00:00,13.665904,14.339984,101.8035,1,759.0
1980-01-01 21:00:00,13.109392,13.756016,94.887695,1,759.0
1980-01-01 22:00:00,13.803677,14.484552,94.45299,1,759.0
1980-01-01 23:00:00,13.193917,13.844712,95.63438,1,759.0
1980-01-02 00:00:00,12.914576,13.551587,97.59626,1,759.0
1980-01-02 01:00:00,12.737591,13.36587,99.4426,1,756.0818
1980-01-02 02:00:00,12.450475,13.064591,100.01783,1,747.18115
1980-01-02 03:00:00,12.273883,12.879288,99.25546,1,739.40924
