key,farm,country,cap_op_MW,cap_2050_MW,turb_type,hub_z_m,lat,lon,grid_ix,grid_iy,grid_lat,grid_lon
belwind,Belwind,BE,165.0,165.0,V90-3.0,72,51.6688,2.8045,41.0,58.0,51.6761,2.7988
future001,Future_001,BE,,855.0,IEA15,150,51.4873,2.8274,42.0,50.0,51.4955,2.8237
future002,Future_002,BE,,195.0,IEA15,150,51.579,2.8531,43.0,54.0,51.5844,2.8655
nobelwindeast,Nobelwind (east),BE,132.0,132.0,V112-3.3,72,51.6566,2.8293,42.0,57.0,51.6527,2.8336
nobelwindwest,Nobelwind (west),BE,33.0,33.0,V112-3.3,72,51.6789,2.7873,41.0,58.0,51.6761,2.7988
noordhindernoord,Noordhinder Noord,BE,,705.0,IEA15,150,51.6164,2.5601,35.0,55.0,51.6137,2.5775
noordhinderzuid,Noordhinder Zuid,BE,,1395.0,IEA15,150,51.4712,2.4464,32.0,49.0,51.4812,2.4616
norther,Norther,BE,359.6,359.6,V164-8.0,105,51.5269,3.0132,47.0,52.0,51.5359,3.0071
northwester2,Northwester 2,BE,193.2,193.2,V164-8.0,105,51.6865,2.7526,40.0,58.0,51.6769,2.7626
northwind,Northwind,BE,216.0,216.0,V112_ECN,71,51.616,2.9052,44.0,55.0,51.606,2.9031
rentel,Rentel,BE,252.0,252.0,REF-6.0,106,51.5914,2.9445,45.0,54.0,51.5826,2.9378
seamademermaid,Seamade (Mermaid),BE,240.0,240.0,DTU10,119,51.7186,2.7405,39.0,60.0,51.7227,2.7291
seamadeseastar,Seamade (Seastar),BE,240.0,250.0,DTU10,119,51.6342,2.8617,43.0,56.0,51.6294,2.8684
thorntonbanki,Thornton Bank I,BE,178.8,178.8,Multiple,95,51.5391,2.922,45.0,52.0,51.5377,2.9348
thorntonbankii,Thornton Bank II,BE,147.6,147.6,Senvion-6.2,95,51.5632,2.985,46.0,53.0,51.5593,2.9724
albatros,Albatros,DE,96.0,96.0,REF-6.0,105,54.486,6.249,125.0,188.0,54.4753,6.2406
alphaventus,Alpha Ventus,DE,60.0,60.0,Senvion-5,90,54.0108,6.6069,136.0,168.0,54.0057,6.5937
amrumbankwest,Amrumbank West,DE,288.0,288.0,SWT-3.6-120,90,54.523,7.7057,162.0,194.0,54.5294,7.688
bardoffshore,BARD Offshore,DE,400.0,400.0,Senvion-5,90,54.3554,5.9809,119.0,182.0,54.3524,5.9902
borkumriffgrundi,Borkum Riffgrund I,DE,312.0,312.0,SWT-4.0-120,87,53.9674,6.5541,135.0,166.0,53.963,6.5487
borkumriffgrundiie,Borkum Riffgrund II (E),DE,40.0,40.0,REF-8.0,105,53.9831,6.6094,137.0,167.0,53.9813,6.6282
borkumriffgrundiiw,Borkum Riffgrund II (W),DE,408.0,408.0,REF-8.0,105,53.9506,6.484,133.0,165.0,53.9446,6.4691
butendiek,Butendiek,DE,288.0,288.0,SWT-3.6-120,91,55.0176,7.774,162.0,216.0,55.0208,7.7796
dantysk,DanTysk,DE,288.0,288.0,SWT-3.6-120,88,55.1372,7.2008,147.0,220.0,55.1451,7.2104
deutschebucht,Deutsche Bucht,DE,248.0,248.0,V164-8.0,105,54.3054,5.7929,114.0,180.0,54.3167,5.7918
enbwhedreiht,EnBW He Dreiht,DE,,500.0,DTU10,119,54.3652,6.1865,124.0,183.0,54.3653,6.1855
future003,Future_003,DE,,480.0,IEA15,150,54.4276,5.7454,112.0,185.0,54.4323,5.7303
future004,Future_004,DE,,180.0,IEA15,150,54.512,6.2772,126.0,190.0,54.5181,6.2858
future005,Future_005,DE,,120.0,IEA15,150,54.3224,6.2071,125.0,181.0,54.3186,6.2173
future006,Future_006,DE,,495.0,IEA15,150,54.5351,5.8934,116.0,190.0,54.537,5.9
future007,Future_007,DE,,405.0,IEA15,150,54.4753,5.8707,115.0,187.0,54.4717,5.852
future008,Future_008,DE,,375.0,IEA15,150,54.2685,5.948,118.0,178.0,54.2646,5.9391
future009,Future_009,DE,,330.0,IEA15,150,54.6649,6.0113,118.0,196.0,54.6677,5.9965
future010,Future_010,DE,,150.0,IEA15,150,54.8355,6.1729,122.0,204.0,54.8392,6.1779
future011,Future_011,DE,,480.0,IEA15,150,54.7836,6.1278,121.0,201.0,54.774,6.1291
future012,Future_012,DE,,285.0,IEA15,150,54.7541,6.2161,123.0,200.0,54.7478,6.2034
future013,Future_013,DE,,495.0,IEA15,150,54.8729,6.334,126.0,206.0,54.8762,6.3401
future014,Future_014,DE,,540.0,IEA15,150,54.8089,6.3683,127.0,203.0,54.8071,6.3687
future015,Future_015,DE,,345.0,IEA15,150,54.873,6.2273,123.0,206.0,54.882,6.2235
future016,Future_016,DE,,375.0,IEA15,150,54.285,6.225,125.0,180.0,54.2962,6.214
future017,Future_017,DE,,285.0,IEA15,150,54.612,6.0714,120.0,194.0,54.6192,6.0674
future018,Future_018,DE,,615.0,IEA15,150,55.0912,6.4685,128.0,216.0,55.0959,6.4528
future019,Future_019,DE,,120.0,IEA15,150,54.712,6.2455,124.0,199.0,54.7234,6.2388
future020,Future_020,DE,,1155.0,IEA15,150,54.7222,6.3823,128.0,199.0,54.7156,6.3938
future021,Future_021,DE,,390.0,IEA15,150,54.9934,6.3309,125.0,211.0,54.99,6.3183
future022,Future_022,DE,,375.0,IEA15,150,55.0393,6.4066,127.0,213.0,55.0308,6.4032
future023,Future_023,DE,,315.0,IEA15,150,55.1071,6.5447,130.0,217.0,55.1143,6.5345
future024,Future_024,DE,,345.0,IEA15,150,55.1789,6.5443,130.0,220.0,55.1814,6.5451
future025,Future_025,DE,,600.0,IEA15,150,55.1871,7.1274,145.0,222.0,55.1942,7.14
future026,Future_026,DE,,390.0,IEA15,150,54.6039,5.9522,117.0,193.0,54.6024,5.9482
future027,Future_027,DE,,315.0,IEA15,150,54.5508,6.0381,120.0,191.0,54.552,6.0576
future028,Future_028,DE,,225.0,IEA15,150,54.4483,6.542,133.0,187.0,54.437,6.5452
future029,Future_029,DE,,1485.0,IEA15,150,54.3953,6.6672,136.0,185.0,54.3861,6.6535
future030,Future_030,DE,,450.0,IEA15,150,54.3796,6.87,142.0,185.0,54.3735,6.8839
future031,Future_031,DE,,495.0,IEA15,150,54.3173,6.5432,133.0,182.0,54.3251,6.5277
future032,Future_032,DE,,540.0,IEA15,150,54.2831,6.7363,139.0,181.0,54.2904,6.7543
future033,Future_033,DE,,585.0,IEA15,150,54.2805,6.9103,143.0,181.0,54.2819,6.9076
future034,Future_034,DE,,705.0,IEA15,150,54.4391,7.4299,156.0,189.0,54.4318,7.437
future035,Future_035,DE,,600.0,IEA15,150,54.6558,6.6785,136.0,197.0,54.6546,6.6964
future036,Future_036,DE,,600.0,IEA15,150,54.5831,6.6512,135.0,194.0,54.5895,6.647
future037,Future_037,DE,,240.0,IEA15,150,54.2629,6.1683,124.0,178.0,54.2533,6.1691
