"Time Interval","Year","Area","Production Type","Installed Capacity (MW)","Total Grand Capacity (MW)"
"01/01/2023 - 01/01/2024","2023","BZN|NL","Biomass","418.00",""
"01/01/2023 - 01/01/2024","2023","BZN|NL","Energy storage","n/e",""
"01/01/2023 - 01/01/2024","2023","BZN|NL","Fossil Brown coal/Lignite","0.00",""
"01/01/2023 - 01/01/2024","2023","BZN|NL","Fossil Coal-derived gas","0.00",""
"01/01/2023 - 01/01/2024","2023","BZN|NL","Fossil Gas","18661.00",""
"01/01/2023 - 01/01/2024","2023","BZN|NL","Fossil Hard coal","4012.00",""
"01/01/2023 - 01/01/2024","2023","BZN|NL","Fossil Oil","0.00",""
"01/01/2023 - 01/01/2024","2023","BZN|NL","Fossil Oil shale","0.00",""
"01/01/2023 - 01/01/2024","2023","BZN|NL","Fossil Peat","0.00",""
"01/01/2023 - 01/01/2024","2023","BZN|NL","Geothermal","0.00",""
"01/01/2023 - 01/01/2024","2023","BZN|NL","Hydro Pumped Storage","0.00",""
"01/01/2023 - 01/01/2024","2023","BZN|NL","Hydro Run-of-river and pondage","38.00",""
"01/01/2023 - 01/01/2024","2023","BZN|NL","Hydro Water Reservoir","0.00",""
"01/01/2023 - 01/01/2024","2023","BZN|NL","Marine","0.00",""
"01/01/2023 - 01/01/2024","2023","BZN|NL","Nuclear","486.00",""
"01/01/2023 - 01/01/2024","2023","BZN|NL","Other","1.00",""
"01/01/2023 - 01/01/2024","2023","BZN|NL","Other renewable","0.00",""
"01/01/2023 - 01/01/2024","2023","BZN|NL","Solar","24302.00",""
"01/01/2023 - 01/01/2024","2023","BZN|NL","Waste","670.00",""
"01/01/2023 - 01/01/2024","2023","BZN|NL","Wind Offshore","4739.00",""
"01/01/2023 - 01/01/2024","2023","BZN|NL","Wind Onshore","6757.00",""
"01/01/2023 - 01/01/2024","2023","BZN|NL","","","60084.00"
