"Time Interval","Area","Production type","Code","Name","Installed Capacity at the beginning of the year (MW)","Current Installed Capacity (MW)","Location","Voltage Connection (kV)","Commissioning Date","Decommissioning Date"
"01/01/2014 - 01/01/2015","BZN|NL","","NOT_FOUND","NOT_FOUND","","120","NOT_FOUND","150","01/07/2021",""
"01/01/2014 - 01/01/2015","BZN|NL","","NOT_FOUND","NOT_FOUND","","129","NOT_FOUND","150","01/07/2021",""
"01/01/2014 - 01/01/2015","BZN|NL","","NOT_FOUND","NOT_FOUND","","376","NOT_FOUND","66","20/05/2020",""
"01/01/2014 - 01/01/2015","BZN|NL","","NOT_FOUND","NOT_FOUND","","376","NOT_FOUND","66","28/04/2020",""
"01/01/2014 - 01/01/2015","BZN|NL","","NOT_FOUND","NOT_FOUND","","144","NOT_FOUND","110","01/11/2015",""
"01/01/2014 - 01/01/2015","BZN|NL","","NOT_FOUND","NOT_FOUND","","600","NOT_FOUND","380","08/05/2017",""
"01/01/2014 - 01/01/2015","BZN|NL","","NOT_FOUND","NOT_FOUND","","108","NOT_FOUND","150","10/12/2014",""
"01/01/2014 - 01/01/2015","BZN|NL","","NOT_FOUND","NOT_FOUND","","760","NOT_FOUND","380","31/01/2023",""
"01/01/2014 - 01/01/2015","BZN|NL","","NOT_FOUND","NOT_FOUND","","1420","NOT_FOUND","380","23/08/2022",""
"01/01/2014 - 01/01/2015","BZN|NL","","NOT_FOUND","NOT_FOUND","","731.5","NOT_FOUND","400","28/01/2021",""
