"Time Interval","Year","Area","Production Type","Installed Capacity (MW)","Total Grand Capacity (MW)"
"01/01/2015 - 01/01/2016","2015","BZN|NL","Biomass","400.00",""
"01/01/2015 - 01/01/2016","2015","BZN|NL","Energy storage","n/e",""
"01/01/2015 - 01/01/2016","2015","BZN|NL","Fossil Brown coal/Lignite","0.00",""
"01/01/2015 - 01/01/2016","2015","BZN|NL","Fossil Coal-derived gas","0.00",""
"01/01/2015 - 01/01/2016","2015","BZN|NL","Fossil Gas","19590.00",""
"01/01/2015 - 01/01/2016","2015","BZN|NL","Fossil Hard coal","7270.00",""
"01/01/2015 - 01/01/2016","2015","BZN|NL","Fossil Oil","0.00",""
"01/01/2015 - 01/01/2016","2015","BZN|NL","Fossil Oil shale","0.00",""
"01/01/2015 - 01/01/2016","2015","BZN|NL","Fossil Peat","0.00",""
"01/01/2015 - 01/01/2016","2015","BZN|NL","Geothermal","0.00",""
"01/01/2015 - 01/01/2016","2015","BZN|NL","Hydro Pumped Storage","0.00",""
"01/01/2015 - 01/01/2016","2015","BZN|NL","Hydro Run-of-river and pondage","38.00",""
"01/01/2015 - 01/01/2016","2015","BZN|NL","Hydro Water Reservoir","0.00",""
"01/01/2015 - 01/01/2016","2015","BZN|NL","Marine","0.00",""
"01/01/2015 - 01/01/2016","2015","BZN|NL","Nuclear","492.00",""
"01/01/2015 - 01/01/2016","2015","BZN|NL","Other","680.00",""
"01/01/2015 - 01/01/2016","2015","BZN|NL","Other renewable","0.00",""
"01/01/2015 - 01/01/2016","2015","BZN|NL","Solar","1000.00",""
"01/01/2015 - 01/01/2016","2015","BZN|NL","Waste","869.00",""
"01/01/2015 - 01/01/2016","2015","BZN|NL","Wind Offshore","228.00",""
"01/01/2015 - 01/01/2016","2015","BZN|NL","Wind Onshore","2646.00",""
"01/01/2015 - 01/01/2016","2015","BZN|NL","","","33213.00"
