,timestamp,Station,Station_ID,Source_Period,Source_File,wind_direction_deg,wind_direction_interpolated_deg,wind_dir_sin,wind_dir_cos,wind_speed_ms,wind_speed_10min_ms,wind_gust_ms,temperature_c,min_temp_10cm_c,dew_point_c,sunshine_duration_h,global_radiation_j_cm2,precip_duration_h,precipitation_mm,pressure_hpa,visibility_code,cloud_cover_octants,humidity_pct
1970-01-01 00:00:00.000000000,2015-01-01 00:00:00,Hoek van Holland,330,2011-2020,Hoek van Holland_330_2011-2020.txt,200.0,199.99999999999997,-0.34202014332566866,-0.9396926207859084,8.0,8.0,10.0,3.4,1.7,1.2,0.0,0,0.0,0.0,1033.9,,,85
1970-01-01 00:00:00.000000001,2015-01-01 01:00:00,Hoek van Holland,330,2011-2020,Hoek van Holland_330_2011-2020.txt,210.0,210.0,-0.5000000000000001,-0.8660254037844386,8.0,7.0,11.0,3.3,1.7,1.2,0.0,0,0.0,0.0,1033.7,,,86
1970-01-01 00:00:00.000000002,2015-01-01 02:00:00,Hoek van Holland,330,2011-2020,Hoek van Holland_330_2011-2020.txt,210.0,210.0,-0.5000000000000001,-0.8660254037844386,9.0,9.0,12.0,3.0,1.7,0.8,0.0,0,0.0,0.0,1033.2,,,85
1970-01-01 00:00:00.000000003,2015-01-01 03:00:00,Hoek van Holland,330,2011-2020,Hoek van Holland_330_2011-2020.txt,220.0,219.99999999999997,-0.6427876096865393,-0.766044443118978,7.0,7.0,10.0,3.2,1.7,1.1,0.0,0,0.0,0.0,1034.1,,,86
1970-01-01 00:00:00.000000004,2015-01-01 04:00:00,Hoek van Holland,330,2011-2020,Hoek van Holland_330_2011-2020.txt,200.0,199.99999999999997,-0.34202014332566866,-0.9396926207859084,8.0,9.0,11.0,3.0,1.7,0.8,0.0,0,0.0,0.0,1033.2,,,85
1970-01-01 00:00:00.000000005,2015-01-01 05:00:00,Hoek van Holland,330,2011-2020,Hoek van Holland_330_2011-2020.txt,200.0,199.99999999999997,-0.34202014332566866,-0.9396926207859084,9.0,9.0,13.0,2.6,1.7,0.0,0.0,0,0.0,0.0,1032.8,,,83
1970-01-01 00:00:00.000000006,2015-01-01 06:00:00,Hoek van Holland,330,2011-2020,Hoek van Holland_330_2011-2020.txt,210.0,210.0,-0.5000000000000001,-0.8660254037844386,10.0,10.0,13.0,3.2,1.7166666666666666,0.4,0.0,0,0.0,0.0,1032.8,,,82
1970-01-01 00:00:00.000000007,2015-01-01 07:00:00,Hoek van Holland,330,2011-2020,Hoek van Holland_330_2011-2020.txt,200.0,199.99999999999997,-0.34202014332566866,-0.9396926207859084,9.0,8.0,12.0,3.3,1.7333333333333334,0.6,0.0,0,0.0,0.0,1033.1,,,82
1970-01-01 00:00:00.000000008,2015-01-01 08:00:00,Hoek van Holland,330,2011-2020,Hoek van Holland_330_2011-2020.txt,200.0,199.99999999999997,-0.34202014332566866,-0.9396926207859084,8.0,8.0,11.0,3.6,1.75,0.8,0.0,3,0.0,0.0,1033.0,,,82
1970-01-01 00:00:00.000000009,2015-01-01 09:00:00,Hoek van Holland,330,2011-2020,Hoek van Holland_330_2011-2020.txt,200.0,199.99999999999997,-0.34202014332566866,-0.9396926207859084,9.0,9.0,12.0,3.8,1.7666666666666666,0.8,0.0,18,0.0,0.0,1033.0,,,81
