,timestamp,Station,Station_ID,Source_Period,Source_File,wind_direction_deg,wind_direction_interpolated_deg,wind_dir_sin,wind_dir_cos,wind_speed_ms,wind_speed_10min_ms,wind_gust_ms,temperature_c,min_temp_10cm_c,dew_point_c,sunshine_duration_h,global_radiation_j_cm2,precip_duration_h,precipitation_mm,pressure_hpa,visibility_code,cloud_cover_octants,humidity_pct
1970-01-01 00:00:00.000000000,2015-01-01 00:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,210.0,210.0,-0.5000000000000001,-0.8660254037844386,4.0,5.0,7.0,3.2,1.0,1.2,0.0,0,0.0,0.0,1033.7,37.0,0.0,87
1970-01-01 00:00:00.000000001,2015-01-01 01:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,210.0,210.0,-0.5000000000000001,-0.8660254037844386,4.0,5.0,8.0,3.0,1.0,0.8,0.0,0,0.0,0.0,1033.5,57.0,0.0,85
1970-01-01 00:00:00.000000002,2015-01-01 02:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,200.0,199.99999999999997,-0.34202014332566866,-0.9396926207859084,5.0,4.0,8.0,2.6,1.0,0.4,0.0,0,0.0,0.0,1032.9,60.0,0.0,85
1970-01-01 00:00:00.000000003,2015-01-01 03:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,210.0,210.0,-0.5000000000000001,-0.8660254037844386,4.0,4.0,7.0,2.7,1.0,0.5,0.0,0,0.0,0.0,1033.9,61.0,0.0,85
1970-01-01 00:00:00.000000004,2015-01-01 04:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,190.0,190.0,-0.17364817766693047,-0.984807753012208,5.0,6.0,8.0,2.2,1.0,0.5,0.0,0,0.0,0.0,1032.9,60.0,2.0,88
1970-01-01 00:00:00.000000005,2015-01-01 05:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,190.0,190.0,-0.17364817766693047,-0.984807753012208,6.0,7.0,9.0,2.4,1.0,0.0,0.0,0,0.0,0.0,1032.1,63.0,0.0,84
1970-01-01 00:00:00.000000006,2015-01-01 06:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,220.0,219.99999999999997,-0.6427876096865393,-0.766044443118978,6.0,4.0,10.0,3.1,1.0666666666666667,0.5,0.0,0,0.0,0.0,1032.9,62.0,5.0,83
1970-01-01 00:00:00.000000007,2015-01-01 07:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,200.0,199.99999999999997,-0.34202014332566866,-0.9396926207859084,5.0,4.0,8.0,3.4,1.1333333333333333,0.8,0.0,0,0.0,0.0,1033.0,64.0,8.0,83
1970-01-01 00:00:00.000000008,2015-01-01 08:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,180.0,180.0,1.2246467991473532e-16,-1.0,5.0,5.0,7.0,3.3,1.2,1.0,0.0,5,0.0,0.0,1032.6,63.0,8.0,85
1970-01-01 00:00:00.000000009,2015-01-01 09:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,190.0,190.0,-0.17364817766693047,-0.984807753012208,6.0,6.0,8.0,4.1,1.2666666666666666,1.7,0.0,17,0.0,0.0,1032.5,63.0,8.0,84
1970-01-01 00:00:00.000000010,2015-01-01 10:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,200.0,199.99999999999997,-0.34202014332566866,-0.9396926207859084,6.0,6.0,9.0,4.6,1.3333333333333333,1.9,0.0,28,0.0,0.0,1031.7,64.0,8.0,83
1970-01-01 00:00:00.000000011,2015-01-01 11:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,210.0,210.0,-0.5000000000000001,-0.8660254037844386,6.0,7.0,11.0,5.1,1.4,2.3,0.3,42,0.0,0.0,1030.9,65.0,8.0,82
1970-01-01 00:00:00.000000012,2015-01-01 12:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,210.0,210.0,-0.5000000000000001,-0.8660254037844386,6.0,7.0,10.0,4.8,1.7666666666666666,2.5,0.0,30,0.0,0.0,1030.6,63.0,8.0,85
1970-01-01 00:00:00.000000013,2015-01-01 13:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,190.0,190.0,-0.17364817766693047,-0.984807753012208,7.0,6.0,11.0,4.1,2.1333333333333333,1.2,0.2,29,0.0,0.0,1029.4,66.0,2.0,81
1970-01-01 00:00:00.000000014,2015-01-01 14:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,210.0,210.0,-0.5000000000000001,-0.8660254037844386,6.0,6.0,9.0,4.6,2.5,1.0,0.7,19,0.0,0.0,1029.1,69.0,6.0,77
1970-01-01 00:00:00.000000015,2015-01-01 15:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,200.0,199.99999999999997,-0.34202014332566866,-0.9396926207859084,6.0,6.0,10.0,4.4,2.8666666666666667,1.0,0.0,2,0.0,0.0,1027.9,67.0,5.0,79
1970-01-01 00:00:00.000000016,2015-01-01 16:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,200.0,199.99999999999997,-0.34202014332566866,-0.9396926207859084,7.0,8.0,12.0,4.5,3.2333333333333334,0.6,0.0,0,0.0,0.0,1027.2,73.0,3.0,76
1970-01-01 00:00:00.000000017,2015-01-01 17:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,200.0,199.99999999999997,-0.34202014332566866,-0.9396926207859084,8.0,9.0,15.0,4.5,3.6,0.2,0.0,0,0.0,0.0,1026.2,75.0,2.0,74
1970-01-01 00:00:00.000000018,2015-01-01 18:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,210.0,210.0,-0.5000000000000001,-0.8660254037844386,9.0,9.0,14.0,4.6,3.6,0.7,0.0,0,0.0,0.0,1025.4,72.0,5.0,76
1970-01-01 00:00:00.000000019,2015-01-01 19:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,200.0,199.99999999999997,-0.34202014332566866,-0.9396926207859084,10.0,10.0,16.0,4.3,3.6,0.6,0.0,0,0.0,0.0,1024.7,70.0,7.0,77
1970-01-01 00:00:00.000000020,2015-01-01 20:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,200.0,199.99999999999997,-0.34202014332566866,-0.9396926207859084,9.0,9.0,15.0,4.5,3.6,0.9,0.0,0,0.0,0.0,1023.7,71.0,8.0,77
1970-01-01 00:00:00.000000021,2015-01-01 21:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,200.0,199.99999999999997,-0.34202014332566866,-0.9396926207859084,10.0,10.0,16.0,4.8,3.6,1.5,0.0,0,0.0,0.0,1022.3,69.0,8.0,79
1970-01-01 00:00:00.000000022,2015-01-01 22:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,200.0,199.99999999999997,-0.34202014332566866,-0.9396926207859084,10.0,10.0,16.0,5.3,3.6,2.6,0.0,0,0.0,0.0,1021.7,67.0,8.0,83
1970-01-01 00:00:00.000000023,2015-01-01 23:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,200.0,199.99999999999997,-0.34202014332566866,-0.9396926207859084,10.0,10.0,16.0,5.3,3.6,3.3,0.0,0,0.8,0.1,1020.4,63.0,8.0,87
1970-01-01 00:00:00.000000024,2015-01-02 00:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,210.0,210.0,-0.5000000000000001,-0.8660254037844386,11.0,11.0,18.0,6.2,3.8,4.3,0.0,0,0.4,0.5,1020.0,65.0,8.0,88
1970-01-01 00:00:00.000000025,2015-01-02 01:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,210.0,210.0,-0.5000000000000001,-0.8660254037844386,10.0,10.0,18.0,6.6,4.0,5.5,0.0,0,0.6,0.5,1019.2,59.0,8.0,93
1970-01-01 00:00:00.000000026,2015-01-02 02:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,220.0,219.99999999999997,-0.6427876096865393,-0.766044443118978,12.0,13.0,20.0,8.3,4.2,6.9,0.0,0,0.6,0.5,1018.9,61.0,8.0,91
1970-01-01 00:00:00.000000027,2015-01-02 03:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,230.0,230.0,-0.7660444431189779,-0.6427876096865395,13.0,14.0,20.0,8.6,4.4,7.6,0.0,0,0.0,0.0,1018.6,56.0,8.0,93
