,timestamp,Station,Station_ID,Source_Period,Source_File,wind_direction_deg,wind_direction_interpolated_deg,wind_dir_sin,wind_dir_cos,wind_speed_ms,wind_speed_10min_ms,wind_gust_ms,temperature_c,min_temp_10cm_c,dew_point_c,sunshine_duration_h,global_radiation_j_cm2,precip_duration_h,precipitation_mm,pressure_hpa,visibility_code,cloud_cover_octants,humidity_pct
1970-01-01 00:00:00.000000000,2021-01-01 00:00:00,Wilhelminadorp,323,2021-2030,Wilhelminadorp_323_2021-2030.txt,260.0,260.0,-0.984807753012208,-0.17364817766693033,2.0,2.0,3.0,0.6,-0.8,-0.2,0.0,0.0,0.0,0.0,1006.5,,,94.0
1970-01-01 00:00:00.000000001,2021-01-01 01:00:00,Wilhelminadorp,323,2021-2030,Wilhelminadorp_323_2021-2030.txt,280.0,280.0,-0.9848077530122081,0.17364817766692997,3.0,3.0,4.0,0.6,-0.8,0.0,0.0,0.0,0.0,0.0,1006.9,,,95.0
1970-01-01 00:00:00.000000002,2021-01-01 02:00:00,Wilhelminadorp,323,2021-2030,Wilhelminadorp_323_2021-2030.txt,250.0,250.0,-0.9396926207859084,-0.34202014332566855,3.0,3.0,5.0,0.9,-0.8,0.3,0.0,0.0,0.0,0.0,1007.2,,,95.0
1970-01-01 00:00:00.000000003,2021-01-01 03:00:00,Wilhelminadorp,323,2021-2030,Wilhelminadorp_323_2021-2030.txt,240.0,239.99999999999994,-0.8660254037844385,-0.5000000000000004,3.0,2.0,4.0,0.9,-0.8,0.5,0.0,0.0,0.0,0.0,1007.2,,,97.0
1970-01-01 00:00:00.000000004,2021-01-01 04:00:00,Wilhelminadorp,323,2021-2030,Wilhelminadorp_323_2021-2030.txt,260.0,260.0,-0.984807753012208,-0.17364817766693033,3.0,3.0,4.0,1.4,-0.8,1.0,0.0,0.0,0.0,0.0,1007.3,,,96.0
1970-01-01 00:00:00.000000005,2021-01-01 05:00:00,Wilhelminadorp,323,2021-2030,Wilhelminadorp_323_2021-2030.txt,240.0,239.99999999999994,-0.8660254037844385,-0.5000000000000004,3.0,3.0,5.0,2.0,-0.8,1.5,0.0,0.0,0.0,0.0,1007.5,,,96.0
1970-01-01 00:00:00.000000006,2021-01-01 06:00:00,Wilhelminadorp,323,2021-2030,Wilhelminadorp_323_2021-2030.txt,230.0,230.0,-0.7660444431189779,-0.6427876096865395,3.0,3.0,4.0,2.2,-0.46666666666666673,1.9,0.0,0.0,0.0,0.0,1008.0,,,97.0
1970-01-01 00:00:00.000000007,2021-01-01 07:00:00,Wilhelminadorp,323,2021-2030,Wilhelminadorp_323_2021-2030.txt,220.0,219.99999999999997,-0.6427876096865393,-0.766044443118978,3.0,3.0,4.0,3.0,-0.13333333333333341,2.3,0.0,0.0,0.0,0.0,1008.3,,,95.0
1970-01-01 00:00:00.000000008,2021-01-01 08:00:00,Wilhelminadorp,323,2021-2030,Wilhelminadorp_323_2021-2030.txt,230.0,230.0,-0.7660444431189779,-0.6427876096865395,3.0,3.0,4.0,3.3,0.19999999999999996,2.1,0.0,7.0,0.0,0.0,1008.7,,,92.0
1970-01-01 00:00:00.000000009,2021-01-01 09:00:00,Wilhelminadorp,323,2021-2030,Wilhelminadorp_323_2021-2030.txt,250.0,250.0,-0.9396926207859084,-0.34202014332566855,3.0,3.0,4.0,3.9,0.5333333333333332,2.5,0.0,21.0,0.0,0.0,1009.2,,,90.0
