"Time Interval","Area","Production type","Code","Name","Installed Capacity at the beginning of the year (MW)","Current Installed Capacity (MW)","Location","Voltage Connection (kV)","Commissioning Date","Decommissioning Date"
"01/01/2026 - 01/01/2027","BZN|NL","Wind Offshore","49W000000000146S","Windfarm Princess Amalia","120","120","intra_zonal","150","01/07/2021",""
"01/01/2026 - 01/01/2027","BZN|NL","Wind Offshore","49W000000000144W","Windfarm Luchterduinen","129","129","intra_zonal","150","01/07/2021",""
"01/01/2026 - 01/01/2027","BZN|NL","Wind Offshore","49W000000000148O","Borssele 2","376","376","intra_zonal","66","20/05/2020",""
"01/01/2026 - 01/01/2027","BZN|NL","Wind Offshore","49W000000000147Q","Borssele 1","376","376","intra_zonal","66","28/04/2020",""
"01/01/2026 - 01/01/2027","BZN|NL","Wind Offshore","49W0000000001411","Westermeerwind","144","144","Netherlands","110","01/11/2015",""
"01/01/2026 - 01/01/2027","BZN|NL","Wind Offshore","49W000000000127W","Windpark Gemini","600","600","Netherlands","380","08/05/2017",""
"01/01/2026 - 01/01/2027","BZN|NL","Wind Offshore","49W000000000111A","OWEZ","108","108","intra_zonal","150","10/12/2014",""
"01/01/2026 - 01/01/2027","BZN|NL","Wind Offshore","49W000000000184K","OWF Hollandse Kust Noord","760","760","intra_zonal","380","31/01/2023",""
"01/01/2026 - 01/01/2027","BZN|NL","Wind Offshore","49W000000000171T","Hollandse Kust Zuid","1420","1420","intra_zonal","380","23/08/2022",""
"01/01/2026 - 01/01/2027","BZN|NL","Wind Offshore","49W000000000154T","Borssele Windfarm III and IV","731.5","731.5","intra_zonal","400","28/01/2021",""
