"Time Interval","Year","Area","Production Type","Installed Capacity (MW)","Total Grand Capacity (MW)"
"01/01/2019 - 01/01/2020","2019","BZN|NL","Biomass","485.00",""
"01/01/2019 - 01/01/2020","2019","BZN|NL","Energy storage","n/e",""
"01/01/2019 - 01/01/2020","2019","BZN|NL","Fossil Brown coal/Lignite","0.00",""
"01/01/2019 - 01/01/2020","2019","BZN|NL","Fossil Coal-derived gas","0.00",""
"01/01/2019 - 01/01/2020","2019","BZN|NL","Fossil Gas","15570.00",""
"01/01/2019 - 01/01/2020","2019","BZN|NL","Fossil Hard coal","4631.00",""
"01/01/2019 - 01/01/2020","2019","BZN|NL","Fossil Oil","0.00",""
"01/01/2019 - 01/01/2020","2019","BZN|NL","Fossil Oil shale","0.00",""
"01/01/2019 - 01/01/2020","2019","BZN|NL","Fossil Peat","0.00",""
"01/01/2019 - 01/01/2020","2019","BZN|NL","Geothermal","0.00",""
"01/01/2019 - 01/01/2020","2019","BZN|NL","Hydro Pumped Storage","0.00",""
"01/01/2019 - 01/01/2020","2019","BZN|NL","Hydro Run-of-river and pondage","37.00",""
"01/01/2019 - 01/01/2020","2019","BZN|NL","Hydro Water Reservoir","0.00",""
"01/01/2019 - 01/01/2020","2019","BZN|NL","Marine","0.00",""
"01/01/2019 - 01/01/2020","2019","BZN|NL","Nuclear","486.00",""
"01/01/2019 - 01/01/2020","2019","BZN|NL","Other","1.00",""
"01/01/2019 - 01/01/2020","2019","BZN|NL","Other renewable","0.00",""
"01/01/2019 - 01/01/2020","2019","BZN|NL","Solar","7226.00",""
"01/01/2019 - 01/01/2020","2019","BZN|NL","Waste","758.00",""
"01/01/2019 - 01/01/2020","2019","BZN|NL","Wind Offshore","957.00",""
"01/01/2019 - 01/01/2020","2019","BZN|NL","Wind Onshore","3527.00",""
"01/01/2019 - 01/01/2020","2019","BZN|NL","","","33678.00"
