ix,iy,lat,lon
1,1,50.421032,1.3113365
2,1,50.42062,1.3465936
3,1,50.420193,1.3818501
4,1,50.419758,1.4171059
5,1,50.41931,1.4523611
6,1,50.418854,1.4876156
7,1,50.41839,1.5228692
8,1,50.417908,1.5581223
9,1,50.417416,1.5933745
10,1,50.416916,1.628626
11,1,50.416405,1.6638768
12,1,50.415882,1.6991267
13,1,50.415348,1.7343758
14,1,50.414803,1.7696241
15,1,50.414246,1.8048716
16,1,50.413677,1.8401182
17,1,50.4131,1.875364
18,1,50.412514,1.9106088
19,1,50.41191,1.9458526
20,1,50.4113,1.9810957
21,1,50.41068,2.0163376
22,1,50.410046,2.0515788
23,1,50.409405,2.086819
24,1,50.40875,2.122058
25,1,50.408085,2.1572962
26,1,50.407406,2.1925333
27,1,50.40672,2.2277691
28,1,50.40602,2.263004
29,1,50.40531,2.298238
30,1,50.40459,2.3334708
31,1,50.403862,2.3687027
32,1,50.40312,2.403933
33,1,50.402363,2.4391625
34,1,50.4016,2.4743907
35,1,50.400826,2.5096178
36,1,50.40004,2.5448437
37,1,50.399242,2.5800683
38,1,50.398434,2.6152918
39,1,50.397617,2.6505141
40,1,50.396786,2.685735
41,1,50.395947,2.7209547
42,1,50.395092,2.756173
43,1,50.39423,2.79139
44,1,50.393356,2.8266058
45,1,50.39247,2.8618202
46,1,50.391575,2.8970332
47,1,50.39067,2.9322448
48,1,50.38975,2.967455
49,1,50.388824,3.0026639
50,1,50.387886,3.0378714
51,1,50.386936,3.0730772
52,1,50.385975,3.1082816
53,1,50.385002,3.1434848
54,1,50.384018,3.1786861
55,1,50.383026,3.2138863
56,1,50.38202,3.2490847
57,1,50.381004,3.2842817
58,1,50.37998,3.319477
59,1,50.37894,3.3546708
60,1,50.37789,3.389863
61,1,50.37683,3.4250536
62,1,50.37576,3.4602427
63,1,50.37468,3.49543
64,1,50.373585,3.5306156
65,1,50.372482,3.5657997
66,1,50.37137,3.600982
67,1,50.370243,3.6361625
68,1,50.369106,3.6713414
69,1,50.367958,3.7065184
70,1,50.366802,3.7416937
71,1,50.36563,3.7768674
72,1,50.364452,3.8120391
73,1,50.363262,3.8472092
74,1,50.36206,3.8823774
75,1,50.360847,3.9175436
76,1,50.359623,3.952708
77,1,50.35839,3.9878707
78,1,50.357143,4.023031
79,1,50.35589,4.05819
80,1,50.35462,4.093347
81,1,50.353344,4.128502
82,1,50.352055,4.163655
83,1,50.350754,4.198806
84,1,50.34944,4.2339544
85,1,50.34812,4.2691016
86,1,50.346786,4.3042464
87,1,50.345444,4.3393893
88,1,50.34409,4.3745303
89,1,50.342724,4.409669
90,1,50.341347,4.4448056
91,1,50.339962,4.4799404
92,1,50.338562,4.515073
93,1,50.337154,4.550203
94,1,50.33573,4.5853314
95,1,50.3343,4.620457
96,1,50.33286,4.655581
97,1,50.33141,4.6907024
98,1,50.329945,4.725822
99,1,50.32847,4.760939
100,1,50.326984,4.796054
101,1,50.32549,4.8311667
102,1,50.323982,4.8662767
103,1,50.322464,4.901385
104,1,50.320934,4.9364905
105,1,50.319393,4.971594
106,1,50.317844,5.006695
107,1,50.31628,5.0417933
108,1,50.31471,5.07689
109,1,50.313126,5.111984
110,1,50.31153,5.147075
111,1,50.309925,5.182164
112,1,50.308308,5.2172503
113,1,50.306683,5.2523346
114,1,50.305046,5.2874165
115,1,50.303394,5.3224955
116,1,50.301735,5.357572
117,1,50.300064,5.392646
118,1,50.298386,5.4277177
119,1,50.29669,5.462786
120,1,50.29499,5.497853
121,1,50.293274,5.5329165
122,1,50.29155,5.5679774
123,1,50.289814,5.603036
124,1,50.288067,5.638092
125,1,50.28631,5.6731453
126,1,50.284542,5.7081957
127,1,50.28276,5.7432437
128,1,50.28097,5.778289
129,1,50.27917,5.813331
130,1,50.27736,5.8483706
131,1,50.275536,5.8834076
132,1,50.273705,5.918442
133,1,50.27186,5.953473
134,1,50.270004,5.9885015
135,1,50.26814,6.023527
136,1,50.26626,6.05855
137,1,50.264374,6.09357
138,1,50.262474,6.1285872
139,1,50.260563,6.1636014
140,1,50.258644,6.1986127
141,1,50.256714,6.233621
142,1,50.25477,6.2686267
143,1,50.25282,6.303629
144,1,50.250854,6.338629
145,1,50.24888,6.3736253
146,1,50.246895,6.408619
147,1,50.244896,6.443609
148,1,50.24289,6.4785967
149,1,50.24087,6.5135813
150,1,50.238842,6.5485625
